phrase1,phrase2_cut,ante_noun,ante_gender,phrases_cut,next_5
The grandparents were coming back from work.,"After a while, a few of the",grandparents,n,"The grandparents were coming back from work. After a while, a few of the", children came out of the
The grandmothers were coming back from work.,"After a while, a few of the",grandmothers,f,"The grandmothers were coming back from work. After a while, a few of the", grandmothers were coming
The grandfathers were coming back from work.,"After a while, a few of the",grandfathers,m,"The grandfathers were coming back from work. After a while, a few of the", grandfathers were playing
The monarchs were coming back from work.,"After a while, a few of the",monarchs,n,"The monarchs were coming back from work. After a while, a few of the", workers started to fly back
The queens were coming back from work.,"After a while, a few of the",queens,f,"The queens were coming back from work. After a while, a few of the", workers were coming back from
The kings were coming back from work.,"After a while, a few of the",kings,m,"The kings were coming back from work. After a while, a few of the", kings were coming back from
The siblings were coming back from work.,"After a while, a few of the",siblings,n,"The siblings were coming back from work. After a while, a few of the", siblings were left behind.
The sisters were coming back from work.,"After a while, a few of the",sisters,f,"The sisters were coming back from work. After a while, a few of the", sisters were talking about the
The brothers were coming back from work.,"After a while, a few of the",brothers,m,"The brothers were coming back from work. After a while, a few of the", brothers were left behind.
The parents-in-law were coming back from work.,"After a while, a few of the",parents-in-law,n,"The parents-in-law were coming back from work. After a while, a few of the", children came back from school
The mothers-in-law were coming back from work.,"After a while, a few of the",mothers-in-law,f,"The mothers-in-law were coming back from work. After a while, a few of the", mothers-in-law went home
The fathers-in-law were coming back from work.,"After a while, a few of the",fathers-in-law,m,"The fathers-in-law were coming back from work. After a while, a few of the", fathers-in-law were coming
The parents were coming back from work.,"After a while, a few of the",parents,n,"The parents were coming back from work. After a while, a few of the", children were playing in the
The mothers were coming back from work.,"After a while, a few of the",mothers,f,"The mothers were coming back from work. After a while, a few of the", mothers were coming back from
The fathers were coming back from work.,"After a while, a few of the",fathers,m,"The fathers were coming back from work. After a while, a few of the", fathers were coming back from
The children were coming back from work.,"After a while, a few of the",children,n,"The children were coming back from work. After a while, a few of the", children came back from work
The daughters were coming back from work.,"After a while, a few of the",daughters,f,"The daughters were coming back from work. After a while, a few of the", sons came back from work
The sons were coming back from work.,"After a while, a few of the",sons,m,"The sons were coming back from work. After a while, a few of the", sons came back from work
The spouses were coming back from work.,"After a while, a few of the",spouses,n,"The spouses were coming back from work. After a while, a few of the", spouses were having an affair
The wives were coming back from work.,"After a while, a few of the",wives,f,"The wives were coming back from work. After a while, a few of the", husbands came back from work
The husbands were coming back from work.,"After a while, a few of the",husbands,m,"The husbands were coming back from work. After a while, a few of the", wives were cooking. The
The grandparents were arguing loudly.,"After a while, some of the",grandparents,n,"The grandparents were arguing loudly. After a while, some of the", neighbors came out to see
The grandmothers were arguing loudly.,"After a while, some of the",grandmothers,f,"The grandmothers were arguing loudly. After a while, some of the", other people in the room
The grandfathers were arguing loudly.,"After a while, some of the",grandfathers,m,"The grandfathers were arguing loudly. After a while, some of the", grandfathers were arguing
The monarchs were arguing loudly.,"After a while, some of the",monarchs,n,"The monarchs were arguing loudly. After a while, some of the", people in the room began
The queens were arguing loudly.,"After a while, some of the",queens,f,"The queens were arguing loudly. After a while, some of the", queens left. There were
The kings were arguing loudly.,"After a while, some of the",kings,m,"The kings were arguing loudly. After a while, some of the", people in the room began
The siblings were arguing loudly.,"After a while, some of the",siblings,n,"The siblings were arguing loudly. After a while, some of the", siblings were angry and left
The sisters were arguing loudly.,"After a while, some of the",sisters,f,"The sisters were arguing loudly. After a while, some of the", people in the room began
The brothers were arguing loudly.,"After a while, some of the",brothers,m,"The brothers were arguing loudly. After a while, some of the", people in the room got
The parents-in-law were arguing loudly.,"After a while, some of the",parents-in-law,n,"The parents-in-law were arguing loudly. After a while, some of the", guests began to leave.
The mothers-in-law were arguing loudly.,"After a while, some of the",mothers-in-law,f,"The mothers-in-law were arguing loudly. After a while, some of the", guests left. The rest
The fathers-in-law were arguing loudly.,"After a while, some of the",fathers-in-law,m,"The fathers-in-law were arguing loudly. After a while, some of the", guests left. The rest
The parents were arguing loudly.,"After a while, some of the",parents,n,"The parents were arguing loudly. After a while, some of the", neighbors came out to see
The mothers were arguing loudly.,"After a while, some of the",mothers,f,"The mothers were arguing loudly. After a while, some of the", other mothers began to leave
The fathers were arguing loudly.,"After a while, some of the",fathers,m,"The fathers were arguing loudly. After a while, some of the", other people in the restaurant
The children were arguing loudly.,"After a while, some of the",children,n,"The children were arguing loudly. After a while, some of the", children were crying. The
The daughters were arguing loudly.,"After a while, some of the",daughters,f,"The daughters were arguing loudly. After a while, some of the", other people in the restaurant
The sons were arguing loudly.,"After a while, some of the",sons,m,"The sons were arguing loudly. After a while, some of the", neighbors came out to see
The spouses were arguing loudly.,"After a while, some of the",spouses,n,"The spouses were arguing loudly. After a while, some of the", neighbors came out to see
The wives were arguing loudly.,"After a while, some of the",wives,f,"The wives were arguing loudly. After a while, some of the", men left the room.
The husbands were arguing loudly.,"After a while, some of the",husbands,m,"The husbands were arguing loudly. After a while, some of the", other guests began to leave
The grandparents were getting on the bus.,"Given the sun, several of the",grandparents,n,"The grandparents were getting on the bus. Given the sun, several of the", people on the bus were
The grandmothers were getting on the bus.,"Given the sun, several of the",grandmothers,f,"The grandmothers were getting on the bus. Given the sun, several of the", grandmothers were wearing
The grandfathers were getting on the bus.,"Given the sun, several of the",grandfathers,m,"The grandfathers were getting on the bus. Given the sun, several of the", grandfathers were wearing
The monarchs were getting on the bus.,"Given the sun, several of the",monarchs,n,"The monarchs were getting on the bus. Given the sun, several of the", monarchs were flying.
The queens were getting on the bus.,"Given the sun, several of the",queens,f,"The queens were getting on the bus. Given the sun, several of the", queens were wearing sunglasses.
The kings were getting on the bus.,"Given the sun, several of the",kings,m,"The kings were getting on the bus. Given the sun, several of the", kings were wearing sunglasses.
The siblings were getting on the bus.,"Given the sun, several of the",siblings,n,"The siblings were getting on the bus. Given the sun, several of the", siblings were wearing sunglasses.
The sisters were getting on the bus.,"Given the sun, several of the",sisters,f,"The sisters were getting on the bus. Given the sun, several of the", sisters wore hats. Given
The brothers were getting on the bus.,"Given the sun, several of the",brothers,m,"The brothers were getting on the bus. Given the sun, several of the", brothers had to squint
The parents-in-law were getting on the bus.,"Given the sun, several of the",parents-in-law,n,"The parents-in-law were getting on the bus. Given the sun, several of the", children were wearing sunglasses.
The mothers-in-law were getting on the bus.,"Given the sun, several of the",mothers-in-law,f,"The mothers-in-law were getting on the bus. Given the sun, several of the", mothers-in-law were wearing
The fathers-in-law were getting on the bus.,"Given the sun, several of the",fathers-in-law,m,"The fathers-in-law were getting on the bus. Given the sun, several of the", fathers-in-law were wearing
The parents were getting on the bus.,"Given the sun, several of the",parents,n,"The parents were getting on the bus. Given the sun, several of the", children were crying. The
The mothers were getting on the bus.,"Given the sun, several of the",mothers,f,"The mothers were getting on the bus. Given the sun, several of the", mothers were wearing sunglasses.
The fathers were getting on the bus.,"Given the sun, several of the",fathers,m,"The fathers were getting on the bus. Given the sun, several of the", fathers were wearing hats.
The children were getting on the bus.,"Given the sun, several of the",children,n,"The children were getting on the bus. Given the sun, several of the", children were wearing sunglasses.
The daughters were getting on the bus.,"Given the sun, several of the",daughters,f,"The daughters were getting on the bus. Given the sun, several of the", girls were wearing sunglasses.
The sons were getting on the bus.,"Given the sun, several of the",sons,m,"The sons were getting on the bus. Given the sun, several of the", boys were wearing sunglasses.
The spouses were getting on the bus.,"Given the sun, several of the",spouses,n,"The spouses were getting on the bus. Given the sun, several of the", spouses were wearing sunglasses.
The wives were getting on the bus.,"Given the sun, several of the",wives,f,"The wives were getting on the bus. Given the sun, several of the", women were wearing sunglasses.
The husbands were getting on the bus.,"Given the sun, several of the",husbands,m,"The husbands were getting on the bus. Given the sun, several of the", husbands were wearing sunglasses.
The grandparents were getting on the bus.,"Given the good weather, a few of the",grandparents,n,"The grandparents were getting on the bus. Given the good weather, a few of the", other passengers opened their windows
The grandmothers were getting on the bus.,"Given the good weather, a few of the",grandmothers,f,"The grandmothers were getting on the bus. Given the good weather, a few of the", grandmothers decided to
The grandfathers were getting on the bus.,"Given the good weather, a few of the",grandfathers,m,"The grandfathers were getting on the bus. Given the good weather, a few of the", grandfathers decided to
The monarchs were getting on the bus.,"Given the good weather, a few of the",monarchs,n,"The monarchs were getting on the bus. Given the good weather, a few of the", monarchs were sitting on
The queens were getting on the bus.,"Given the good weather, a few of the",queens,f,"The queens were getting on the bus. Given the good weather, a few of the", queens decided to ride the
The kings were getting on the bus.,"Given the good weather, a few of the",kings,m,"The kings were getting on the bus. Given the good weather, a few of the", kings decided to stand on
The siblings were getting on the bus.,"Given the good weather, a few of the",siblings,n,"The siblings were getting on the bus. Given the good weather, a few of the", siblings decided to walk to
The sisters were getting on the bus.,"Given the good weather, a few of the",sisters,f,"The sisters were getting on the bus. Given the good weather, a few of the", other people on the bus
The brothers were getting on the bus.,"Given the good weather, a few of the",brothers,m,"The brothers were getting on the bus. Given the good weather, a few of the", brothers decided to ride their
The parents-in-law were getting on the bus.,"Given the good weather, a few of the",parents-in-law,n,"The parents-in-law were getting on the bus. Given the good weather, a few of the", children had gone to the
The mothers-in-law were getting on the bus.,"Given the good weather, a few of the",mothers-in-law,f,"The mothers-in-law were getting on the bus. Given the good weather, a few of the", mothers-in-law decided to
The fathers-in-law were getting on the bus.,"Given the good weather, a few of the",fathers-in-law,m,"The fathers-in-law were getting on the bus. Given the good weather, a few of the", fathers-in-law decided to
The parents were getting on the bus.,"Given the good weather, a few of the",parents,n,"The parents were getting on the bus. Given the good weather, a few of the", children were still playing outside
The mothers were getting on the bus.,"Given the good weather, a few of the",mothers,f,"The mothers were getting on the bus. Given the good weather, a few of the", mothers had decided to take
The fathers were getting on the bus.,"Given the good weather, a few of the",fathers,m,"The fathers were getting on the bus. Given the good weather, a few of the", fathers decided to walk to
The children were getting on the bus.,"Given the good weather, a few of the",children,n,"The children were getting on the bus. Given the good weather, a few of the", children were wearing shorts.
The daughters were getting on the bus.,"Given the good weather, a few of the",daughters,f,"The daughters were getting on the bus. Given the good weather, a few of the", girls were wearing shorts.
The sons were getting on the bus.,"Given the good weather, a few of the",sons,m,"The sons were getting on the bus. Given the good weather, a few of the", boys were playing in the
The spouses were getting on the bus.,"Given the good weather, a few of the",spouses,n,"The spouses were getting on the bus. Given the good weather, a few of the", spouses decided to ride bikes
The wives were getting on the bus.,"Given the good weather, a few of the",wives,f,"The wives were getting on the bus. Given the good weather, a few of the", children were allowed to go
The husbands were getting on the bus.,"Given the good weather, a few of the",husbands,m,"The husbands were getting on the bus. Given the good weather, a few of the", husbands decided to go to
The grandparents were walking in the city.,"After a very long day, most of the",grandparents,n,"The grandparents were walking in the city. After a very long day, most of the", time spent on the bus
The grandmothers were walking in the city.,"After a very long day, most of the",grandmothers,f,"The grandmothers were walking in the city. After a very long day, most of the", grandmothers were tired
The grandfathers were walking in the city.,"After a very long day, most of the",grandfathers,m,"The grandfathers were walking in the city. After a very long day, most of the"," people had gone home,"
The monarchs were walking in the city.,"After a very long day, most of the",monarchs,n,"The monarchs were walking in the city. After a very long day, most of the", monarchs were tired.
The queens were walking in the city.,"After a very long day, most of the",queens,f,"The queens were walking in the city. After a very long day, most of the", queens were tired and went
The kings were walking in the city.,"After a very long day, most of the",kings,m,"The kings were walking in the city. After a very long day, most of the", people were tired and wanted
The siblings were walking in the city.,"After a very long day, most of the",siblings,n,"The siblings were walking in the city. After a very long day, most of the", people were going home.
The sisters were walking in the city.,"After a very long day, most of the",sisters,f,"The sisters were walking in the city. After a very long day, most of the", people left the city.
The brothers were walking in the city.,"After a very long day, most of the",brothers,m,"The brothers were walking in the city. After a very long day, most of the", city was behind them.
The parents-in-law were walking in the city.,"After a very long day, most of the",parents-in-law,n,"The parents-in-law were walking in the city. After a very long day, most of the", people had left the city
The mothers-in-law were walking in the city.,"After a very long day, most of the",mothers-in-law,f,"The mothers-in-law were walking in the city. After a very long day, most of the", women were tired. But
The fathers-in-law were walking in the city.,"After a very long day, most of the",fathers-in-law,m,"The fathers-in-law were walking in the city. After a very long day, most of the", people had already gone home
The parents were walking in the city.,"After a very long day, most of the",parents,n,"The parents were walking in the city. After a very long day, most of the", parents were tired and hungry
The mothers were walking in the city.,"After a very long day, most of the",mothers,f,"The mothers were walking in the city. After a very long day, most of the", mothers were tired and hungry
The fathers were walking in the city.,"After a very long day, most of the",fathers,m,"The fathers were walking in the city. After a very long day, most of the", fathers were tired and hungry
The children were walking in the city.,"After a very long day, most of the",children,n,"The children were walking in the city. After a very long day, most of the", children were tired and hungry
The daughters were walking in the city.,"After a very long day, most of the",daughters,f,"The daughters were walking in the city. After a very long day, most of the", people were going home.
The sons were walking in the city.,"After a very long day, most of the",sons,m,"The sons were walking in the city. After a very long day, most of the", people were going home.
The spouses were walking in the city.,"After a very long day, most of the",spouses,n,"The spouses were walking in the city. After a very long day, most of the", people were doing what?
The wives were walking in the city.,"After a very long day, most of the",wives,f,"The wives were walking in the city. After a very long day, most of the"," wives were tired, but"
The husbands were walking in the city.,"After a very long day, most of the",husbands,m,"The husbands were walking in the city. After a very long day, most of the", husbands were tired and fell
The grandparents were already at work.,It was evident that several of the,grandparents,n,The grandparents were already at work. It was evident that several of the, children had been left alone
The grandmothers were already at work.,It was evident that several of the,grandmothers,f,The grandmothers were already at work. It was evident that several of the, younger ones had been up
The grandfathers were already at work.,It was evident that several of the,grandfathers,m,The grandfathers were already at work. It was evident that several of the, younger men were also at
The monarchs were already at work.,It was evident that several of the,monarchs,n,The monarchs were already at work. It was evident that several of the, workers had been killed by
The queens were already at work.,It was evident that several of the,queens,f,The queens were already at work. It was evident that several of the, colonies had been established for
The kings were already at work.,It was evident that several of the,kings,m,The kings were already at work. It was evident that several of the, smaller ones had been at
The siblings were already at work.,It was evident that several of the,siblings,n,The siblings were already at work. It was evident that several of the, workers had been there for
The sisters were already at work.,It was evident that several of the,sisters,f,The sisters were already at work. It was evident that several of the," girls had been crying,"
The brothers were already at work.,It was evident that several of the,brothers,m,The brothers were already at work. It was evident that several of the, men had been there all
The parents-in-law were already at work.,It was evident that several of the,parents-in-law,n,The parents-in-law were already at work. It was evident that several of the, guests had been there for
The mothers-in-law were already at work.,It was evident that several of the,mothers-in-law,f,The mothers-in-law were already at work. It was evident that several of the, younger women had been we
The fathers-in-law were already at work.,It was evident that several of the,fathers-in-law,m,The fathers-in-law were already at work. It was evident that several of the, men had been up all
The parents were already at work.,It was evident that several of the,parents,n,The parents were already at work. It was evident that several of the, children had not been to
The mothers were already at work.,It was evident that several of the,mothers,f,The mothers were already at work. It was evident that several of the, children had been sent to
The fathers were already at work.,It was evident that several of the,fathers,m,The fathers were already at work. It was evident that several of the, men had been there all
The children were already at work.,It was evident that several of the,children,n,The children were already at work. It was evident that several of the, smaller ones had been at
The daughters were already at work.,It was evident that several of the,daughters,f,The daughters were already at work. It was evident that several of the, younger ones had been crying
The sons were already at work.,It was evident that several of the,sons,m,The sons were already at work. It was evident that several of the, younger ones had been up
The spouses were already at work.,It was evident that several of the,spouses,n,The spouses were already at work. It was evident that several of the, men had been summoned from
The wives were already at work.,It was evident that several of the,wives,f,The wives were already at work. It was evident that several of the, men had been killed before
The husbands were already at work.,It was evident that several of the,husbands,m,The husbands were already at work. It was evident that several of the, wives had been up for
The grandparents were entering the building.,It was obvious that the majority of the,grandparents,n,The grandparents were entering the building. It was obvious that the majority of the, building's tenants were what
The grandmothers were entering the building.,It was obvious that the majority of the,grandmothers,f,The grandmothers were entering the building. It was obvious that the majority of the, grandmothers were not
The grandfathers were entering the building.,It was obvious that the majority of the,grandfathers,m,The grandfathers were entering the building. It was obvious that the majority of the, people there were there for
The monarchs were entering the building.,It was obvious that the majority of the,monarchs,n,The monarchs were entering the building. It was obvious that the majority of the, people there were what the
The queens were entering the building.,It was obvious that the majority of the,queens,f,The queens were entering the building. It was obvious that the majority of the, people there were there to
The kings were entering the building.,It was obvious that the majority of the,kings,m,The kings were entering the building. It was obvious that the majority of the, people there were not kings
The siblings were entering the building.,It was obvious that the majority of the,siblings,n,The siblings were entering the building. It was obvious that the majority of the, people were there for the
The sisters were entering the building.,It was obvious that the majority of the,sisters,f,The sisters were entering the building. It was obvious that the majority of the, people were there for the
The brothers were entering the building.,It was obvious that the majority of the,brothers,m,The brothers were entering the building. It was obvious that the majority of the, people there were there for
The parents-in-law were entering the building.,It was obvious that the majority of the,parents-in-law,n,The parents-in-law were entering the building. It was obvious that the majority of the, people in the building were
The mothers-in-law were entering the building.,It was obvious that the majority of the,mothers-in-law,f,The mothers-in-law were entering the building. It was obvious that the majority of the, mothers-in-law were not
The fathers-in-law were entering the building.,It was obvious that the majority of the,fathers-in-law,m,The fathers-in-law were entering the building. It was obvious that the majority of the, fathers-in-law were not
The parents were entering the building.,It was obvious that the majority of the,parents,n,The parents were entering the building. It was obvious that the majority of the, people in the room were
The mothers were entering the building.,It was obvious that the majority of the,mothers,f,The mothers were entering the building. It was obvious that the majority of the, mothers were not there for
The fathers were entering the building.,It was obvious that the majority of the,fathers,m,The fathers were entering the building. It was obvious that the majority of the, fathers were not very happy
The children were entering the building.,It was obvious that the majority of the,children,n,The children were entering the building. It was obvious that the majority of the, children were there for the
The daughters were entering the building.,It was obvious that the majority of the,daughters,f,The daughters were entering the building. It was obvious that the majority of the, people in the building were
The sons were entering the building.,It was obvious that the majority of the,sons,m,The sons were entering the building. It was obvious that the majority of the, people there were there for
The spouses were entering the building.,It was obvious that the majority of the,spouses,n,The spouses were entering the building. It was obvious that the majority of the, people there were there for
The wives were entering the building.,It was obvious that the majority of the,wives,f,The wives were entering the building. It was obvious that the majority of the, wives were not happy about
The husbands were entering the building.,It was obvious that the majority of the,husbands,m,The husbands were entering the building. It was obvious that the majority of the, people there were couples.
The grandparents were already at the station.,"After a very long day, the majority of the",grandparents,n,"The grandparents were already at the station. After a very long day, the majority of the", family had arrived. The
The grandmothers were already at the station.,"After a very long day, the majority of the",grandmothers,f,"The grandmothers were already at the station. After a very long day, the majority of the", passengers had already left.
The grandfathers were already at the station.,"After a very long day, the majority of the",grandfathers,m,"The grandfathers were already at the station. After a very long day, the majority of the", people had already left.
The monarchs were already at the station.,"After a very long day, the majority of the",monarchs,n,"The monarchs were already at the station. After a very long day, the majority of the", monarchs had already arrived
The queens were already at the station.,"After a very long day, the majority of the",queens,f,"The queens were already at the station. After a very long day, the majority of the", queens were still at the
The kings were already at the station.,"After a very long day, the majority of the",kings,m,"The kings were already at the station. After a very long day, the majority of the", kings were already at the
The siblings were already at the station.,"After a very long day, the majority of the",siblings,n,"The siblings were already at the station. After a very long day, the majority of the", passengers had already left the
The sisters were already at the station.,"After a very long day, the majority of the",sisters,f,"The sisters were already at the station. After a very long day, the majority of the", passengers had already left the
The brothers were already at the station.,"After a very long day, the majority of the",brothers,m,"The brothers were already at the station. After a very long day, the majority of the", passengers had already left the
The parents-in-law were already at the station.,"After a very long day, the majority of the",parents-in-law,n,"The parents-in-law were already at the station. After a very long day, the majority of the", guests had already left.
The mothers-in-law were already at the station.,"After a very long day, the majority of the",mothers-in-law,f,"The mothers-in-law were already at the station. After a very long day, the majority of the", guests had already left.
The fathers-in-law were already at the station.,"After a very long day, the majority of the",fathers-in-law,m,"The fathers-in-law were already at the station. After a very long day, the majority of the", guests had already left.
The parents were already at the station.,"After a very long day, the majority of the",parents,n,"The parents were already at the station. After a very long day, the majority of the", children had already been picked
The mothers were already at the station.,"After a very long day, the majority of the",mothers,f,"The mothers were already at the station. After a very long day, the majority of the", mothers were already at the
The fathers were already at the station.,"After a very long day, the majority of the",fathers,m,"The fathers were already at the station. After a very long day, the majority of the", fathers were already at the
The children were already at the station.,"After a very long day, the majority of the",children,n,"The children were already at the station. After a very long day, the majority of the", children were already at the
The daughters were already at the station.,"After a very long day, the majority of the",daughters,f,"The daughters were already at the station. After a very long day, the majority of the", family had arrived. The
The sons were already at the station.,"After a very long day, the majority of the",sons,m,"The sons were already at the station. After a very long day, the majority of the", people were already on the
The spouses were already at the station.,"After a very long day, the majority of the",spouses,n,"The spouses were already at the station. After a very long day, the majority of the", guests had already left.
The wives were already at the station.,"After a very long day, the majority of the",wives,f,"The wives were already at the station. After a very long day, the majority of the", men had returned home.
The husbands were already at the station.,"After a very long day, the majority of the",husbands,m,"The husbands were already at the station. After a very long day, the majority of the", women were also there.
The grandparents were getting off the plane.,"After such a long day, most of the",grandparents,n,"The grandparents were getting off the plane. After such a long day, most of the", passengers were tired and ready
The grandmothers were getting off the plane.,"After such a long day, most of the",grandmothers,f,"The grandmothers were getting off the plane. After such a long day, most of the", passengers were tired and hungry
The grandfathers were getting off the plane.,"After such a long day, most of the",grandfathers,m,"The grandfathers were getting off the plane. After such a long day, most of the", passengers were already asleep.
The monarchs were getting off the plane.,"After such a long day, most of the",monarchs,n,"The monarchs were getting off the plane. After such a long day, most of the", people were tired. But
The queens were getting off the plane.,"After such a long day, most of the",queens,f,"The queens were getting off the plane. After such a long day, most of the", queens were tired and hungry
The kings were getting off the plane.,"After such a long day, most of the",kings,m,"The kings were getting off the plane. After such a long day, most of the", kings were tired and sleepy
The siblings were getting off the plane.,"After such a long day, most of the",siblings,n,"The siblings were getting off the plane. After such a long day, most of the", family was tired. The
The sisters were getting off the plane.,"After such a long day, most of the",sisters,f,"The sisters were getting off the plane. After such a long day, most of the", passengers were tired. But
The brothers were getting off the plane.,"After such a long day, most of the",brothers,m,"The brothers were getting off the plane. After such a long day, most of the", passengers were tired and ready
The parents-in-law were getting off the plane.,"After such a long day, most of the",parents-in-law,n,"The parents-in-law were getting off the plane. After such a long day, most of the", passengers were tired and just
The mothers-in-law were getting off the plane.,"After such a long day, most of the",mothers-in-law,f,"The mothers-in-law were getting off the plane. After such a long day, most of the", passengers were tired and just
The fathers-in-law were getting off the plane.,"After such a long day, most of the",fathers-in-law,m,"The fathers-in-law were getting off the plane. After such a long day, most of the", passengers were tired and hungry
The parents were getting off the plane.,"After such a long day, most of the",parents,n,"The parents were getting off the plane. After such a long day, most of the", passengers were tired and just
The mothers were getting off the plane.,"After such a long day, most of the",mothers,f,"The mothers were getting off the plane. After such a long day, most of the", mothers were tired and hungry
The fathers were getting off the plane.,"After such a long day, most of the",fathers,m,"The fathers were getting off the plane. After such a long day, most of the", fathers were tired. But
The children were getting off the plane.,"After such a long day, most of the",children,n,"The children were getting off the plane. After such a long day, most of the", children were tired and sleepy
The daughters were getting off the plane.,"After such a long day, most of the",daughters,f,"The daughters were getting off the plane. After such a long day, most of the", passengers were tired and ready
The sons were getting off the plane.,"After such a long day, most of the",sons,m,"The sons were getting off the plane. After such a long day, most of the", passengers were tired and just
The spouses were getting off the plane.,"After such a long day, most of the",spouses,n,"The spouses were getting off the plane. After such a long day, most of the", passengers were just happy to
The wives were getting off the plane.,"After such a long day, most of the",wives,f,"The wives were getting off the plane. After such a long day, most of the", wives were tired and just
The husbands were getting off the plane.,"After such a long day, most of the",husbands,m,"The husbands were getting off the plane. After such a long day, most of the", husbands were tired. The
