item_no,ante_noun,ante_gender,sentences,continuation,gender_a1,ref_a1,gender_a2,ref_a2,gender_a3,ref_a3,gender_mv,ref_mv
464,grandmothers,f,"The grandmothers were arguing loudly. After a while, some of the",other people in the room,f,no,n,no,n,no,n,no
465,grandfathers,m,"The grandfathers were arguing loudly. After a while, some of the",grandfathers were arguing,m,yes,m,yes,m,yes,m,yes
466,monarchs,n,"The monarchs were arguing loudly. After a while, some of the",people in the room began,n,no,n,no,n,yes,n,no
467,queens,f,"The queens were arguing loudly. After a while, some of the",queens left. There were,f,yes,f,yes,f,yes,f,yes
468,kings,m,"The kings were arguing loudly. After a while, some of the",people in the room began,m,no,n,no,n,yes,n,no
469,siblings,n,"The siblings were arguing loudly. After a while, some of the",siblings were angry and left,n,yes,n,yes,n,yes,n,yes
470,sisters,f,"The sisters were arguing loudly. After a while, some of the",people in the room began,f,no,n,no,n,yes,n,no
471,brothers,m,"The brothers were arguing loudly. After a while, some of the",people in the room got,m,no,n,no,n,yes,n,no
472,parents-in-law,n,"The parents-in-law were arguing loudly. After a while, some of the",guests began to leave.,n,no,n,no,n,no,n,no
473,mothers-in-law,f,"The mothers-in-law were arguing loudly. After a while, some of the",guests left. The rest,f,no,n,no,n,no,n,no
474,fathers-in-law,m,"The fathers-in-law were arguing loudly. After a while, some of the",guests left. The rest,m,no,n,no,n,no,n,no
475,parents,n,"The parents were arguing loudly. After a while, some of the",neighbors came out to see,n,no,n,no,n,no,n,no
476,mothers,f,"The mothers were arguing loudly. After a while, some of the",other mothers began to leave,f,yes,f,yes,f,no,f,yes
477,fathers,m,"The fathers were arguing loudly. After a while, some of the",other people in the restaurant,m,no,n,no,n,no,n,no
478,children,n,"The children were arguing loudly. After a while, some of the",children were crying. The,n,yes,n,yes,n,yes,n,yes
479,daughters,f,"The daughters were arguing loudly. After a while, some of the",other people in the restaurant,f,no,n,no,n,no,n,no
480,sons,m,"The sons were arguing loudly. After a while, some of the",neighbors came out to see,m,no,n,no,n,no,n,no
481,spouses,n,"The spouses were arguing loudly. After a while, some of the",neighbors came out to see,n,no,n,no,n,no,n,no
482,wives,f,"The wives were arguing loudly. After a while, some of the",men left the room.,f,no,m,no,m,no,m,no
483,husbands,m,"The husbands were arguing loudly. After a while, some of the",other guests began to leave,m,no,n,no,n,no,n,no
484,grandparents,n,"The grandparents were getting on the bus. Given the sun, several of the",people on the bus were,n,no,n,yes,n,no,n,no
485,grandmothers,f,"The grandmothers were getting on the bus. Given the sun, several of the",grandmothers were wearing,f,yes,f,yes,f,yes,f,yes
486,grandfathers,m,"The grandfathers were getting on the bus. Given the sun, several of the",grandfathers were wearing,m,yes,m,yes,m,yes,m,yes
487,monarchs,n,"The monarchs were getting on the bus. Given the sun, several of the",monarchs were flying.,n,yes,n,yes,n,yes,n,yes
488,queens,f,"The queens were getting on the bus. Given the sun, several of the",queens were wearing sunglasses.,f,yes,f,yes,f,yes,f,yes
489,kings,m,"The kings were getting on the bus. Given the sun, several of the",kings were wearing sunglasses.,m,yes,m,yes,m,yes,m,yes
490,siblings,n,"The siblings were getting on the bus. Given the sun, several of the",siblings were wearing sunglasses.,n,yes,n,yes,n,yes,n,yes
491,sisters,f,"The sisters were getting on the bus. Given the sun, several of the",sisters wore hats. Given,f,yes,f,yes,f,yes,f,yes
492,brothers,m,"The brothers were getting on the bus. Given the sun, several of the",brothers had to squint,m,yes,m,yes,m,yes,m,yes
493,parents-in-law,n,"The parents-in-law were getting on the bus. Given the sun, several of the",children were wearing sunglasses.,n,yes,n,no,n,no,n,no
494,mothers-in-law,f,"The mothers-in-law were getting on the bus. Given the sun, several of the",mothers-in-law were wearing,f,yes,f,yes,f,yes,f,yes
495,fathers-in-law,m,"The fathers-in-law were getting on the bus. Given the sun, several of the",fathers-in-law were wearing,m,yes,m,yes,m,yes,m,yes
496,parents,n,"The parents were getting on the bus. Given the sun, several of the",children were crying. The,n,yes,n,no,n,no,n,no
497,mothers,f,"The mothers were getting on the bus. Given the sun, several of the",mothers were wearing sunglasses.,f,yes,f,yes,f,yes,f,yes
498,fathers,m,"The fathers were getting on the bus. Given the sun, several of the",fathers were wearing hats.,m,yes,m,yes,m,yes,m,yes
499,children,n,"The children were getting on the bus. Given the sun, several of the",children were wearing sunglasses.,n,yes,n,yes,n,yes,n,yes
500,daughters,f,"The daughters were getting on the bus. Given the sun, several of the",girls were wearing sunglasses.,f,yes,f,yes,f,yes,f,yes
501,sons,m,"The sons were getting on the bus. Given the sun, several of the",boys were wearing sunglasses.,m,yes,m,yes,m,yes,m,yes
502,spouses,n,"The spouses were getting on the bus. Given the sun, several of the",spouses were wearing sunglasses.,n,yes,n,yes,n,yes,n,yes
503,wives,f,"The wives were getting on the bus. Given the sun, several of the",women were wearing sunglasses.,f,yes,f,yes,f,yes,f,yes
504,husbands,m,"The husbands were getting on the bus. Given the sun, several of the",husbands were wearing sunglasses.,m,yes,m,yes,m,yes,m,yes
505,grandparents,n,"The grandparents were getting on the bus. Given the good weather, a few of the",other passengers opened their windows,n,no,n,UNSURE,n,no,n,no
506,grandmothers,f,"The grandmothers were getting on the bus. Given the good weather, a few of the",grandmothers decided to,f,yes,f,yes,f,yes,f,yes
507,grandfathers,m,"The grandfathers were getting on the bus. Given the good weather, a few of the",grandfathers decided to,m,yes,m,yes,m,yes,m,yes
508,monarchs,n,"The monarchs were getting on the bus. Given the good weather, a few of the",monarchs were sitting on,n,yes,n,yes,n,yes,n,yes
509,queens,f,"The queens were getting on the bus. Given the good weather, a few of the",queens decided to ride the,f,yes,f,yes,f,yes,f,yes
510,kings,m,"The kings were getting on the bus. Given the good weather, a few of the",kings decided to stand on,m,yes,m,yes,m,yes,m,yes
511,siblings,n,"The siblings were getting on the bus. Given the good weather, a few of the",siblings decided to walk to,n,yes,n,yes,n,yes,n,yes
512,sisters,f,"The sisters were getting on the bus. Given the good weather, a few of the",other people on the bus,f,no,n,yes,n,no,n,no
513,brothers,m,"The brothers were getting on the bus. Given the good weather, a few of the",brothers decided to ride their,m,yes,m,yes,m,yes,m,yes
514,parents-in-law,n,"The parents-in-law were getting on the bus. Given the good weather, a few of the",children had gone to the,n,yes,n,no,n,no,n,no
515,mothers-in-law,f,"The mothers-in-law were getting on the bus. Given the good weather, a few of the",mothers-in-law decided to,f,yes,f,yes,f,yes,f,yes
516,fathers-in-law,m,"The fathers-in-law were getting on the bus. Given the good weather, a few of the",fathers-in-law decided to,m,yes,m,yes,m,yes,m,yes
517,parents,n,"The parents were getting on the bus. Given the good weather, a few of the",children were still playing outside,n,yes,n,no,n,no,n,no
518,mothers,f,"The mothers were getting on the bus. Given the good weather, a few of the",mothers had decided to take,f,yes,f,yes,f,yes,f,yes
519,fathers,m,"The fathers were getting on the bus. Given the good weather, a few of the",fathers decided to walk to,m,yes,m,yes,m,yes,m,yes
520,children,n,"The children were getting on the bus. Given the good weather, a few of the",children were wearing shorts.,n,yes,n,yes,n,yes,n,yes
521,daughters,f,"The daughters were getting on the bus. Given the good weather, a few of the",girls were wearing shorts.,f,yes,f,yes,f,yes,f,yes
522,sons,m,"The sons were getting on the bus. Given the good weather, a few of the",boys were playing in the,m,yes,m,yes,m,yes,m,yes
523,spouses,n,"The spouses were getting on the bus. Given the good weather, a few of the",spouses decided to ride bikes,n,yes,n,yes,n,yes,n,yes
524,wives,f,"The wives were getting on the bus. Given the good weather, a few of the",children were allowed to go,f,no,n,no,n,no,n,no
525,husbands,m,"The husbands were getting on the bus. Given the good weather, a few of the",husbands decided to go to,m,yes,m,yes,m,yes,m,yes
526,grandparents,n,"The grandparents were walking in the city. After a very long day, most of the",time spent on the bus,n,no,NULL,no,NULL,no,NULL,no
527,grandmothers,f,"The grandmothers were walking in the city. After a very long day, most of the",grandmothers were tired,f,yes,f,yes,f,yes,f,yes
528,grandfathers,m,"The grandfathers were walking in the city. After a very long day, most of the"," people had gone home,",m,no,n,no,n,no,n,no
529,monarchs,n,"The monarchs were walking in the city. After a very long day, most of the",monarchs were tired.,n,yes,n,yes,n,yes,n,yes
530,queens,f,"The queens were walking in the city. After a very long day, most of the",queens were tired and went,f,yes,f,yes,f,yes,f,yes
531,kings,m,"The kings were walking in the city. After a very long day, most of the",people were tired and wanted,m,no,n,no,n,no,n,no
532,siblings,n,"The siblings were walking in the city. After a very long day, most of the",people were going home.,n,no,n,no,n,no,n,no
533,sisters,f,"The sisters were walking in the city. After a very long day, most of the",people left the city.,f,no,n,no,n,no,n,no
534,brothers,m,"The brothers were walking in the city. After a very long day, most of the",city was behind them.,m,no,NA & n,yes,NULL,no,NULL,no
535,parents-in-law,n,"The parents-in-law were walking in the city. After a very long day, most of the",people had left the city,n,no,n,yes,n,no,n,no
536,mothers-in-law,f,"The mothers-in-law were walking in the city. After a very long day, most of the",women were tired. But,f,yes,f,yes,f,yes,f,yes
537,fathers-in-law,m,"The fathers-in-law were walking in the city. After a very long day, most of the",people had already gone home,m,no,n,no,n,no,n,no
538,parents,n,"The parents were walking in the city. After a very long day, most of the",parents were tired and hungry,n,yes,n,yes,n,yes,n,yes
539,mothers,f,"The mothers were walking in the city. After a very long day, most of the",mothers were tired and hungry,f,yes,f,yes,f,yes,f,yes
540,fathers,m,"The fathers were walking in the city. After a very long day, most of the",fathers were tired and hungry,m,yes,m,yes,m,yes,m,yes
541,children,n,"The children were walking in the city. After a very long day, most of the",children were tired and hungry,n,yes,n,yes,n,yes,n,yes
542,daughters,f,"The daughters were walking in the city. After a very long day, most of the",people were going home.,f,no,n,no,n,no,n,no
543,sons,m,"The sons were walking in the city. After a very long day, most of the",people were going home.,m,no,n,no,n,no,n,no
544,spouses,n,"The spouses were walking in the city. After a very long day, most of the",people were doing what?,n,no,n,no,n,yes,n,no
545,wives,f,"The wives were walking in the city. After a very long day, most of the"," wives were tired, but",f,yes,f,yes,f,yes,f,yes
546,husbands,m,"The husbands were walking in the city. After a very long day, most of the",husbands were tired and fell,m,yes,m,yes,m,yes,m,yes
547,grandparents,n,The grandparents were already at work. It was evident that several of the,children had been left alone,n,no,n,no,n,no,n,no
548,grandmothers,f,The grandmothers were already at work. It was evident that several of the,younger ones had been up,f,yes,n,yes,n,yes,n,yes
549,grandfathers,m,The grandfathers were already at work. It was evident that several of the,younger men were also at,m,yes,m,no,m,yes,m,yes
550,monarchs,n,The monarchs were already at work. It was evident that several of the,workers had been killed by,n,no,n,no,n,no,n,no
551,queens,f,The queens were already at work. It was evident that several of the,colonies had been established for,f,no,NULL,no,NULL,no,NULL,no
552,kings,m,The kings were already at work. It was evident that several of the,smaller ones had been at,m,no,n,UNSURE,n,yes,n,NULL
553,siblings,n,The siblings were already at work. It was evident that several of the,workers had been there for,n,no,n,no,n,no,n,no
554,sisters,f,The sisters were already at work. It was evident that several of the," girls had been crying,",f,yes,f,yes,f,yes,f,yes
555,brothers,m,The brothers were already at work. It was evident that several of the,men had been there all,m,yes,m,UNSURE,m,yes,m,yes
556,parents-in-law,n,The parents-in-law were already at work. It was evident that several of the,guests had been there for,n,no,n,no,n,no,n,no
557,mothers-in-law,f,The mothers-in-law were already at work. It was evident that several of the,younger women had been we,f,yes,f,NULL,f,yes,f,yes
558,fathers-in-law,m,The fathers-in-law were already at work. It was evident that several of the,men had been up all,m,yes,m,yes,m,yes,m,yes
559,parents,n,The parents were already at work. It was evident that several of the,children had not been to,n,yes,n,no,n,no,n,no
560,mothers,f,The mothers were already at work. It was evident that several of the,children had been sent to,f,yes,n,no,n,no,n,no
561,fathers,m,The fathers were already at work. It was evident that several of the,men had been there all,m,yes,m,yes,m,yes,m,yes
562,children,n,The children were already at work. It was evident that several of the,smaller ones had been at,n,yes,n,yes,n,yes,n,yes
563,daughters,f,The daughters were already at work. It was evident that several of the,younger ones had been crying,f,yes,n,UNSURE,n,yes,n,yes
564,sons,m,The sons were already at work. It was evident that several of the,younger ones had been up,m,yes,n,UNSURE,n,yes,n,yes
565,spouses,n,The spouses were already at work. It was evident that several of the,men had been summoned from,n,yes,m,no,m,yes,m,yes
566,wives,f,The wives were already at work. It was evident that several of the,men had been killed before,f,no,m,no,m,no,m,no
567,husbands,m,The husbands were already at work. It was evident that several of the,wives had been up for,m,yes,f,no,f,no,f,no
568,grandparents,n,The grandparents were entering the building. It was obvious that the majority of the,building's tenants were what,n,yes,n,no,n,no,n,no
569,grandmothers,f,The grandmothers were entering the building. It was obvious that the majority of the,grandmothers were not,f,yes,f,yes,f,yes,f,yes
570,grandfathers,m,The grandfathers were entering the building. It was obvious that the majority of the,people there were there for,m,no,n,no,n,no,n,no
571,monarchs,n,The monarchs were entering the building. It was obvious that the majority of the,people there were what the,n,no,n,no,n,no,n,no
572,queens,f,The queens were entering the building. It was obvious that the majority of the,people there were there to,f,no,n,no,n,no,n,no
573,kings,m,The kings were entering the building. It was obvious that the majority of the,people there were not kings,m,no,n & m,yes,n,no,NULL,no
574,siblings,n,The siblings were entering the building. It was obvious that the majority of the,people were there for the,n,no,n,no,n,no,n,no
575,sisters,f,The sisters were entering the building. It was obvious that the majority of the,people were there for the,f,no,n,no,n,no,n,no
576,brothers,m,The brothers were entering the building. It was obvious that the majority of the,people there were there for,m,no,n,no,n,no,n,no
577,parents-in-law,n,The parents-in-law were entering the building. It was obvious that the majority of the,people in the building were,n,no,n,no,n,no,n,no
578,mothers-in-law,f,The mothers-in-law were entering the building. It was obvious that the majority of the,mothers-in-law were not,f,yes,f,yes,f,yes,f,yes
579,fathers-in-law,m,The fathers-in-law were entering the building. It was obvious that the majority of the,fathers-in-law were not,m,yes,m,yes,m,yes,m,yes
580,parents,n,The parents were entering the building. It was obvious that the majority of the,people in the room were,n,no,n,no,n,no,n,no
581,mothers,f,The mothers were entering the building. It was obvious that the majority of the,mothers were not there for,f,yes,f,yes,f,yes,f,yes
582,fathers,m,The fathers were entering the building. It was obvious that the majority of the,fathers were not very happy,m,yes,m,yes,m,yes,m,yes
583,children,n,The children were entering the building. It was obvious that the majority of the,children were there for the,n,yes,n,yes,n,yes,n,yes
584,daughters,f,The daughters were entering the building. It was obvious that the majority of the,people in the building were,f,no,n,no,n,no,n,no
585,sons,m,The sons were entering the building. It was obvious that the majority of the,people there were there for,m,no,n,no,n,no,n,no
586,spouses,n,The spouses were entering the building. It was obvious that the majority of the,people there were there for,n,no,n,no,n,yes,n,no
587,wives,f,The wives were entering the building. It was obvious that the majority of the,wives were not happy about,f,yes,f,yes,f,yes,f,yes
588,husbands,m,The husbands were entering the building. It was obvious that the majority of the,people there were couples.,m,no,n,no,n,no,n,no
589,grandparents,n,"The grandparents were already at the station. After a very long day, the majority of the",family had arrived. The,n,no,n,no,n,no,n,no
590,grandmothers,f,"The grandmothers were already at the station. After a very long day, the majority of the",passengers had already left.,m,no,n,no,n,no,n,no
591,grandfathers,m,"The grandfathers were already at the station. After a very long day, the majority of the",people had already left.,m,no,n,no,n,no,n,no
592,monarchs,n,"The monarchs were already at the station. After a very long day, the majority of the",monarchs had already arrived,n,yes,n,yes,n,unsure,n,yes
593,queens,f,"The queens were already at the station. After a very long day, the majority of the",queens were still at the,f,yes,f,yes,f,yes,f,yes
594,kings,m,"The kings were already at the station. After a very long day, the majority of the",kings were already at the,m,yes,m,yes,m,yes,m,yes
595,siblings,n,"The siblings were already at the station. After a very long day, the majority of the",passengers had already left the,n,no,n,no,n,no,n,no
596,sisters,f,"The sisters were already at the station. After a very long day, the majority of the",passengers had already left the,f,no,n,no,n,no,n,no
597,brothers,m,"The brothers were already at the station. After a very long day, the majority of the",passengers had already left the,m,no,n,no,n,no,n,no
598,parents-in-law,n,"The parents-in-law were already at the station. After a very long day, the majority of the",guests had already left.,n,no,n,no,n,no,n,no
599,mothers-in-law,f,"The mothers-in-law were already at the station. After a very long day, the majority of the",guests had already left.,f,no,n,no,n,no,n,no
600,fathers-in-law,m,"The fathers-in-law were already at the station. After a very long day, the majority of the",guests had already left.,m,no,n,no,n,no,n,no
601,parents,n,"The parents were already at the station. After a very long day, the majority of the",children had already been picked,n,yes,n,no,n,no,n,no
602,mothers,f,"The mothers were already at the station. After a very long day, the majority of the",mothers were already at the,f,yes,f,yes,f,yes,f,yes
603,fathers,m,"The fathers were already at the station. After a very long day, the majority of the",fathers were already at the,m,yes,m,yes,m,yes,m,yes
604,children,n,"The children were already at the station. After a very long day, the majority of the",children were already at the,n,yes,n,yes,n,yes,n,yes
605,daughters,f,"The daughters were already at the station. After a very long day, the majority of the",family had arrived. The,f,no,n,no,n,NULL,n,no
606,sons,m,"The sons were already at the station. After a very long day, the majority of the",people were already on the,m,no,n,no,n,NULL,n,no
607,spouses,n,"The spouses were already at the station. After a very long day, the majority of the",guests had already left.,n,no,n,no,n,no,n,no
608,wives,f,"The wives were already at the station. After a very long day, the majority of the",men had returned home.,f,no,m,no,m,no,m,no
609,husbands,m,"The husbands were already at the station. After a very long day, the majority of the",women were also there.,m,no,f,no,f,no,f,no
610,grandparents,n,"The grandparents were getting off the plane. After such a long day, most of the",passengers were tired and ready,n,no,n,no,n,no,n,no
611,grandmothers,f,"The grandmothers were getting off the plane. After such a long day, most of the",passengers were tired and hungry,f,no,n,no,n,no,n,no
612,grandfathers,m,"The grandfathers were getting off the plane. After such a long day, most of the",passengers were already asleep.,m,no,n,no,n,no,n,no
613,monarchs,n,"The monarchs were getting off the plane. After such a long day, most of the",people were tired. But,n,no,n,no,n,no,n,no
614,queens,f,"The queens were getting off the plane. After such a long day, most of the",queens were tired and hungry,f,yes,f,yes,f,yes,f,yes
615,kings,m,"The kings were getting off the plane. After such a long day, most of the",kings were tired and sleepy,m,yes,m,yes,m,yes,m,yes
616,siblings,n,"The siblings were getting off the plane. After such a long day, most of the",family was tired. The,n,no,n,no,n,yes,n,no
617,sisters,f,"The sisters were getting off the plane. After such a long day, most of the",passengers were tired. But,f,no,n,no,n,no,n,no
618,brothers,m,"The brothers were getting off the plane. After such a long day, most of the",passengers were tired and ready,m,no,n,no,n,no,n,no
619,parents-in-law,n,"The parents-in-law were getting off the plane. After such a long day, most of the",passengers were tired and just,n,no,n,no,n,no,n,no
620,mothers-in-law,f,"The mothers-in-law were getting off the plane. After such a long day, most of the",passengers were tired and just,f,no,n,no,n,no,n,no
621,fathers-in-law,m,"The fathers-in-law were getting off the plane. After such a long day, most of the",passengers were tired and hungry,m,no,n,no,n,no,n,no
622,parents,n,"The parents were getting off the plane. After such a long day, most of the",passengers were tired and just,n,no,n,no,n,no,n,no
623,mothers,f,"The mothers were getting off the plane. After such a long day, most of the",mothers were tired and hungry,f,yes,f,yes,f,yes,f,yes
624,fathers,m,"The fathers were getting off the plane. After such a long day, most of the",fathers were tired. But,m,yes,m,yes,m,yes,m,yes
625,children,n,"The children were getting off the plane. After such a long day, most of the",children were tired and sleepy,n,yes,n,yes,n,yes,n,yes
626,daughters,f,"The daughters were getting off the plane. After such a long day, most of the",passengers were tired and ready,f,no,n,no,n,no,n,no
627,sons,m,"The sons were getting off the plane. After such a long day, most of the",passengers were tired and just,m,no,n,no,n,no,n,no
628,spouses,n,"The spouses were getting off the plane. After such a long day, most of the",passengers were just happy to,n,no,n,no,n,no,n,no
629,wives,f,"The wives were getting off the plane. After such a long day, most of the",wives were tired and just,f,yes,f,yes,f,yes,f,yes
630,husbands,m,"The husbands were getting off the plane. After such a long day, most of the",husbands were tired. The,m,yes,m,yes,m,yes,m,yes
